Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1713942362451,24/04/2024 07:06:02,1713949562451,2,24/04/2024 11:06:02,143617,34,task-yzjg,,37232258,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713942362504,24/04/2024 07:06:02,1713949562504,2,24/04/2024 11:06:02,143617,34,task-yzjg,,37232258,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.5259999996274,99.92599999999993,101.5259999996274,101.5259999996274,99.92599999999993,101.5259999996274,1,101.5259999996274,0,0,,Time Limit,screen,0,screen,dummy,
3,1713942362506,24/04/2024 07:06:02,1713949562506,2,24/04/2024 11:06:02,143617,34,task-yzjg,,37232258,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
