Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1715075138313,07/05/2024 09:45:38,1715082338313,2,07/05/2024 13:45:38,143617,34,questionnaire-ps33,,37516686,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,0,WELCOME,4,Stroop ,,,,,5,,BEGIN,,,,,
2,1715075441876,07/05/2024 09:50:41,1715082641876,2,07/05/2024 13:50:41,143617,34,questionnaire-ps33,,37516686,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,0,WELCOME,4,Stroop ,,,,,5,,END,,,,,
END OF FILE
