Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1715079041518,07/05/2024 10:50:41,1715086241518,2,07/05/2024 14:50:41,143617,34,questionnaire-fjbd,,37520363,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,0,Thank you for your partipation,2,Stroop ,,,,,5,,BEGIN,,,,,
2,1715079062083,07/05/2024 10:51:02,1715086262083,2,07/05/2024 14:51:02,143617,34,questionnaire-fjbd,,37520363,jbug1,9856764,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 125.0,1920x1080,1920x947,,,0,Thank you for your partipation,2,Stroop ,,,,,5,,END,,,,,
END OF FILE
