Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1708694879986,23/02/2024 13:27:59,1708698479986,1,23/02/2024 15:27:59,143587,31,questionnaire-qeou,,35455000,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,WELCOME,5,ASRT,,,,,5,,BEGIN,,,,,
2,1708694906377,23/02/2024 13:28:26,1708698506377,1,23/02/2024 15:28:26,143587,31,questionnaire-qeou,,35455000,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,WELCOME,5,ASRT,,,,,5,,END,,,,,
END OF FILE
