Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1708698846098,23/02/2024 14:34:06,1708702446098,1,23/02/2024 16:34:06,143587,31,questionnaire-mcpk,,35457048,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,3,ASRT,,,,,5,,BEGIN,,,,,
2,1708698859571,23/02/2024 14:34:19,1708702459571,1,23/02/2024 16:34:19,143587,31,questionnaire-mcpk,,35457048,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,3,ASRT,,,,,5,,END,,,,,
END OF FILE
