Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1708942584908,26/02/2024 10:16:24,1708946184908,1,26/02/2024 12:16:24,143587,31,questionnaire-qeou,,35499323,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,WELCOME,5,DGS,,,,,5,,BEGIN,,,,,
2,1708942625024,26/02/2024 10:17:05,1708946225024,1,26/02/2024 12:17:05,143587,31,questionnaire-qeou,,35499323,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,WELCOME,5,DGS,,,,,5,,END,,,,,
END OF FILE
