Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1715791243178,15/05/2024 16:40:43,1715798443178,2,15/05/2024 20:40:43,143617,34,task-yzjg,,37672944,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1715791243258,15/05/2024 16:40:43,1715798443258,2,15/05/2024 20:40:43,143617,34,task-yzjg,,37672944,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.79999995231628,100.09999999999991,101.79999995231628,101.79999995231628,100.09999999999991,101.79999995231628,1,101.79999995231628,0,0,,Time Limit,screen,0,screen,dummy,
3,1715791243261,15/05/2024 16:40:43,1715798443261,2,15/05/2024 20:40:43,143617,34,task-yzjg,,37672944,tpxp2,9856751,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x754,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
