Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
104,1707495932618,09/02/2024 16:25:32,1707495933871,1,09/02/2024 17:25:33,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,61,35,2,Screen 2,buttona,response_keyboard,602.2999999998137,,,yellow,1,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
105,1707495933107,09/02/2024 16:25:33,1707495934362,1,09/02/2024 17:25:34,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,20,36,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,YELLOWblue.jpg,yellow,0,0
106,1707495934690,09/02/2024 16:25:34,1707495935940,1,09/02/2024 17:25:35,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,20,36,2,Screen 2,buttona,response_keyboard,1574.800000000745,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWblue.jpg,yellow,0,0
107,1707495935180,09/02/2024 16:25:35,1707495936429,1,09/02/2024 17:25:36,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,51,37,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
108,1707495936194,09/02/2024 16:25:36,1707495937446,1,09/02/2024 17:25:37,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,51,37,2,Screen 2,buttonb,response_keyboard,1010.2999999998137,,,blue,1,1,0,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
109,1707495936694,09/02/2024 16:25:36,1707495937945,1,09/02/2024 17:25:37,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,74,38,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
110,1707495937315,09/02/2024 16:25:37,1707495938318,1,09/02/2024 17:25:38,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,74,38,2,Screen 2,buttonb,response_keyboard,365.8999999994412,,,green,1,1,0,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
111,1707495937556,09/02/2024 16:25:37,1707495938812,1,09/02/2024 17:25:38,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,110,39,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
112,1707495938057,09/02/2024 16:25:38,1707495939306,1,09/02/2024 17:25:39,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,110,39,2,Screen 2,buttona,response_keyboard,491.90000000037253,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
113,1707495938550,09/02/2024 16:25:38,1707495939795,1,09/02/2024 17:25:39,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,105,40,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
114,1707495939279,09/02/2024 16:25:39,1707495940531,1,09/02/2024 17:25:40,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,105,40,2,Screen 2,buttonb,response_keyboard,729.4000000003725,,,blue,1,1,0,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
115,1707495939779,09/02/2024 16:25:39,1707495941029,1,09/02/2024 17:25:41,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,40,41,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENred.jpg,green,0,0
116,1707495940515,09/02/2024 16:25:40,1707495941722,1,09/02/2024 17:25:41,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,40,41,2,Screen 2,buttonb,response_keyboard,687.5,,,green,1,1,0,0,,,,,1,Trials,GREENred.jpg,green,0,0
117,1707495940960,09/02/2024 16:25:40,1707495942212,1,09/02/2024 17:25:42,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,89,42,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,GREENred.jpg,green,0,0
118,1707495941355,09/02/2024 16:25:41,1707495942606,1,09/02/2024 17:25:42,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,89,42,2,Screen 2,buttonb,response_keyboard,388.79999999981374,,,green,1,1,0,0,,,,,1,Trials,GREENred.jpg,green,0,0
119,1707495941848,09/02/2024 16:25:41,1707495943095,1,09/02/2024 17:25:43,143617,34,task-yi7p,,34975091,zurx0,9856738,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x585,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,85,43,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENblue.jpg,green,1,0
