Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1713948665889,24/04/2024 08:51:05,1713948665865,2,24/04/2024 10:51:05,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1713948720805,24/04/2024 08:52:00,1713948720810,2,24/04/2024 10:52:00,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,54408.09999999963,,,,,0,1,0,,,,,,Instructions,,,,
3,1713948721256,24/04/2024 08:52:01,1713948721251,2,24/04/2024 10:52:01,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.5,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1713948731104,24/04/2024 08:52:11,1713948731119,2,24/04/2024 10:52:11,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,9845.799999998882,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1713948731895,24/04/2024 08:52:11,1713948731878,2,24/04/2024 10:52:11,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,500.1999999999971,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1713948734610,24/04/2024 08:52:14,1713948734614,2,24/04/2024 10:52:14,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttonb,response_keyboard,2698.699999999255,,,blue,1,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1713948735365,24/04/2024 08:52:15,1713948735377,2,24/04/2024 10:52:15,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1713948738152,24/04/2024 08:52:18,1713948738157,2,24/04/2024 10:52:18,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,2743.10000000149,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1713948738908,24/04/2024 08:52:18,1713948738919,2,24/04/2024 10:52:18,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,500.1999999999971,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1713948740433,24/04/2024 08:52:20,1713948740418,2,24/04/2024 10:52:20,143617,34,task-yi7p,,37233819,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,Stroop Task,7,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,1469.0999999996275,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
