Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
13,1715036111449,06/05/2024 22:55:11,1715036111916,2,07/05/2024 00:55:11,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,8,5,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
14,1715036112447,06/05/2024 22:55:12,1715036112917,2,07/05/2024 00:55:12,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,8,5,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
15,1715036112743,06/05/2024 22:55:12,1715036113216,2,07/05/2024 00:55:13,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,9,6,1,Screen 1,fixation,fixation,300.10000000009313,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
16,1715036113749,06/05/2024 22:55:13,1715036114217,2,07/05/2024 00:55:14,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,9,6,2,Screen 2,Zone2,timelimit_screen,999.8999999999069,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
17,1715036115772,06/05/2024 22:55:15,1715036116233,2,07/05/2024 00:55:16,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,10,2,1,Screen 1,Zone2,response_text_entry,772.5999999046326,,Enter Key,716,1,1,0,0,,,,,,Test_Forwards,,716,8000,3,,F3_2
18,1715036116048,06/05/2024 22:55:16,1715036116516,2,07/05/2024 00:55:16,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,11,7,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">4</p>",,,3,,
19,1715036117071,06/05/2024 22:55:17,1715036117517,2,07/05/2024 00:55:17,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,11,7,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">4</p>",,,3,,
20,1715036117352,06/05/2024 22:55:17,1715036117816,2,07/05/2024 00:55:17,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,12,8,1,Screen 1,fixation,fixation,299.9000000001397,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,3,,
21,1715036118346,06/05/2024 22:55:18,1715036118816,2,07/05/2024 00:55:18,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,12,8,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,3,,
22,1715036118647,06/05/2024 22:55:18,1715036119116,2,07/05/2024 00:55:19,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,13,9,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">5</p>",,,3,,
